Painting,Vertices,Vertices Per Polygon,Replication,MSE
Salvator Mundi,180,6,2,686.8184722222222
Salvator Mundi,240,3,1,612.0234953703704
Salvator Mundi,240,3,1,581.2925694444443
Salvator Mundi,240,3,1,615.0402546296298
Salvator Mundi,240,3,1,601.5486574074074
Salvator Mundi,240,3,1,600.4036574074074
Salvator Mundi,240,3,2,611.2686342592592
Salvator Mundi,240,3,2,613.9046064814814
Salvator Mundi,240,3,2,585.0096064814815
Salvator Mundi,240,3,2,597.1108796296296
Salvator Mundi,240,3,2,580.919212962963
Salvator Mundi,240,4,1,633.2309722222222
Salvator Mundi,240,4,1,568.6417361111112
Salvator Mundi,240,4,1,652.3631712962963
Salvator Mundi,240,4,1,609.711550925926
Salvator Mundi,240,4,1,604.1011342592593
Salvator Mundi,240,4,2,602.2806712962962
Salvator Mundi,240,4,2,600.4252777777778
Salvator Mundi,240,4,2,626.3112962962962
Salvator Mundi,240,4,2,583.3450925925927
Salvator Mundi,240,4,2,574.7817129629631
Salvator Mundi,240,5,1,632.7345833333334
Salvator Mundi,240,5,1,565.6563657407407
Salvator Mundi,240,5,1,645.1246990740741
Salvator Mundi,240,5,1,600.1886111111112
Salvator Mundi,240,5,1,620.6559953703704
Salvator Mundi,240,5,2,609.3219212962962
Salvator Mundi,240,5,2,622.6481712962963
Salvator Mundi,240,5,2,642.6599074074073
Salvator Mundi,240,5,2,563.0302083333332
Salvator Mundi,240,5,2,595.8264814814814
Salvator Mundi,240,6,1,608.6558564814815
Salvator Mundi,240,6,1,636.1503703703704
Salvator Mundi,240,6,1,641.0603240740741
Salvator Mundi,240,6,1,590.5405092592592
Salvator Mundi,240,6,1,634.1035185185185
Salvator Mundi,240,6,2,640.3571296296296
Salvator Mundi,240,6,2,634.121087962963
Salvator Mundi,240,6,2,681.8471296296296
Salvator Mundi,240,6,2,644.7200694444443
Salvator Mundi,240,6,2,656.8739351851851
Salvator Mundi,300,3,1,561.3743287037037
Salvator Mundi,300,3,1,508.49986111111116
Salvator Mundi,300,3,1,555.847800925926
Salvator Mundi,300,3,1,547.4006712962963
Salvator Mundi,300,3,1,552.9757870370371
Salvator Mundi,300,3,2,529.9952083333334
Salvator Mundi,300,3,2,545.7665277777778
Salvator Mundi,300,3,2,532.0056018518519
Salvator Mundi,300,3,2,556.7276157407407
Salvator Mundi,300,3,2,549.0559027777778
Salvator Mundi,300,4,1,555.7852083333332
Salvator Mundi,300,4,1,560.3876388888889
Salvator Mundi,300,4,1,537.1442129629629
Salvator Mundi,300,4,1,521.1034722222222
Salvator Mundi,300,4,1,565.6918518518519
Salvator Mundi,300,4,2,526.9945370370369
Salvator Mundi,300,4,2,549.4122916666666
Salvator Mundi,300,4,2,522.2837731481482
Salvator Mundi,300,4,2,556.9136805555555
Salvator Mundi,300,4,2,540.867337962963
Salvator Mundi,300,5,1,562.75125
Salvator Mundi,300,5,1,597.4271527777778
Salvator Mundi,300,5,1,546.0606481481482
Salvator Mundi,300,5,1,556.3206944444445
Salvator Mundi,300,5,1,573.2476388888889
Salvator Mundi,300,5,2,597.6888425925927
Salvator Mundi,300,5,2,572.6527314814815
Salvator Mundi,300,5,2,567.909675925926
Salvator Mundi,300,5,2,582.7994675925926
Salvator Mundi,300,5,2,589.6240972222222
Salvator Mundi,300,6,1,588.8821296296296
Salvator Mundi,300,6,1,558.4939351851851
Salvator Mundi,300,6,1,610.2092129629631
Salvator Mundi,300,6,1,630.215
Salvator Mundi,300,6,1,614.2367592592593
Salvator Mundi,300,6,2,568.9747222222222
Salvator Mundi,300,6,2,580.6538194444445
Salvator Mundi,300,6,2,594.429375
Salvator Mundi,300,6,2,629.653587962963
Salvator Mundi,300,6,2,580.6581944444445
Salvator Mundi,600,3,1,461.57490740740735
Salvator Mundi,600,3,1,418.20356481481485
Salvator Mundi,600,3,1,439.27011574074066
Salvator Mundi,600,3,1,423.085
Salvator Mundi,600,3,1,408.6655092592592
Salvator Mundi,600,3,2,428.0509722222222
Salvator Mundi,600,3,2,423.33604166666674
Salvator Mundi,600,3,2,413.398425925926
Salvator Mundi,600,3,2,425.28363425925926
Salvator Mundi,600,3,2,415.9966666666666
Salvator Mundi,600,4,1,419.23178240740737
Salvator Mundi,600,4,1,414.97375
Salvator Mundi,600,4,1,436.3340972222222
Salvator Mundi,600,4,1,435.87993055555563
Salvator Mundi,600,4,1,428.78391203703706
Salvator Mundi,600,4,2,436.0410185185185
Salvator Mundi,600,4,2,416.06761574074073
Salvator Mundi,600,4,2,456.4311342592592
Salvator Mundi,600,4,2,417.80509259259264
Salvator Mundi,600,4,2,412.01791666666674
Salvator Mundi,600,5,1,432.7090509259259
Salvator Mundi,600,5,1,411.3348611111112
Salvator Mundi,600,5,1,448.2303703703704
Salvator Mundi,600,5,1,445.1765972222222
Salvator Mundi,600,5,1,427.72835648148146
Salvator Mundi,600,5,2,439.6229166666666
Salvator Mundi,600,5,2,470.06958333333336
Salvator Mundi,600,5,2,439.07495370370367
Salvator Mundi,600,5,2,439.36956018518515
Salvator Mundi,600,5,2,440.59291666666667
Salvator Mundi,600,6,1,464.51460648148145
Salvator Mundi,600,6,1,458.86148148148146
Salvator Mundi,600,6,1,441.2875
Salvator Mundi,600,6,1,452.3272685185185
Salvator Mundi,600,6,1,462.3444675925926
Salvator Mundi,600,6,2,460.5996064814815
Salvator Mundi,600,6,2,454.03574074074066
Salvator Mundi,600,6,2,441.561226851852
Salvator Mundi,600,6,2,450.5823148148148
Salvator Mundi,600,6,2,474.3325231481482
Salvator Mundi,900,3,1,364.8575694444445
Salvator Mundi,900,3,1,373.5572685185185
Salvator Mundi,900,3,1,364.6449074074074
Salvator Mundi,900,3,1,400.3052314814815
Salvator Mundi,900,3,1,363.70414351851855
Salvator Mundi,900,3,2,372.12479166666674
Salvator Mundi,900,3,2,380.9198611111111
Salvator Mundi,900,3,2,379.99148148148146
Salvator Mundi,900,3,2,377.08324074074073
Salvator Mundi,900,3,2,387.66416666666674
Salvator Mundi,900,4,1,357.0312037037037
Salvator Mundi,900,4,1,387.92400462962956
Salvator Mundi,900,4,1,385.28104166666674
Salvator Mundi,900,4,1,379.76925925925934
Salvator Mundi,900,4,1,361.5375231481481
Salvator Mundi,900,4,2,349.3456018518518
Salvator Mundi,900,4,2,358.76055555555564
Salvator Mundi,900,4,2,395.179375
Salvator Mundi,900,4,2,360.0059722222222
Salvator Mundi,900,4,2,363.1055787037037
Salvator Mundi,900,5,1,393.73136574074067
Salvator Mundi,900,5,1,385.3319444444445
Salvator Mundi,900,5,1,379.8732407407408
Salvator Mundi,900,5,1,389.5200925925926
Salvator Mundi,900,5,1,382.43493055555564
Salvator Mundi,900,5,2,392.5290046296296
Salvator Mundi,900,5,2,382.11946759259257
Salvator Mundi,900,5,2,370.97493055555566
Salvator Mundi,900,5,2,380.19638888888886
Salvator Mundi,900,5,2,403.2540972222222
Salvator Mundi,900,6,1,393.68682870370367
Salvator Mundi,900,6,1,422.9534027777778
Salvator Mundi,900,6,1,381.62388888888887
Salvator Mundi,900,6,1,393.80516203703706
Salvator Mundi,900,6,1,381.5830787037037
Salvator Mundi,900,6,2,400.29944444444436
Salvator Mundi,900,6,2,380.8565509259259
Salvator Mundi,900,6,2,390.83203703703697
Salvator Mundi,900,6,2,400.918287037037
Salvator Mundi,900,6,2,382.0513888888889
Salvator Mundi,1200,3,1,355.043125
Salvator Mundi,1200,3,1,358.4574768518519
Salvator Mundi,1200,3,1,341.8819675925926
Salvator Mundi,1200,3,1,333.52694444444444
Salvator Mundi,1200,3,1,347.8490509259259
Salvator Mundi,1200,3,2,355.859375
Salvator Mundi,1200,3,2,347.9915740740741
Salvator Mundi,1200,3,2,361.7214814814815
Salvator Mundi,1200,3,2,360.52979166666665
Salvator Mundi,1200,3,2,336.0449537037037
Salvator Mundi,1200,4,1,351.35810185185187
Salvator Mundi,1200,4,1,349.84201388888886
Salvator Mundi,1200,4,1,352.4450231481481
Salvator Mundi,1200,4,1,376.59664351851853
Salvator Mundi,1200,4,1,336.60108796296294
Salvator Mundi,1200,4,2,346.6986574074074
Salvator Mundi,1200,4,2,371.7548148148149
Salvator Mundi,1200,4,2,358.1619212962962
Salvator Mundi,1200,4,2,348.95439814814813
Salvator Mundi,1200,4,2,351.21451388888886
Salvator Mundi,1200,5,1,340.5315277777778
Salvator Mundi,1200,5,1,365.77671296296296
Salvator Mundi,1200,5,1,371.80266203703695
Salvator Mundi,1200,5,1,354.7128009259259
Salvator Mundi,1200,5,1,371.29923611111116
Salvator Mundi,1200,5,2,380.4316435185185
Salvator Mundi,1200,5,2,360.0460416666667
Salvator Mundi,1200,5,2,348.2640740740741
Salvator Mundi,1200,5,2,359.14384259259265
Salvator Mundi,1200,5,2,346.6159953703704
Salvator Mundi,1200,6,1,367.14141203703696
Salvator Mundi,1200,6,1,364.16243055555566
Salvator Mundi,1200,6,1,345.05370370370366
Salvator Mundi,1200,6,1,354.9782175925926
Salvator Mundi,1200,6,1,363.0200694444445
Salvator Mundi,1200,6,2,368.0581481481481
Salvator Mundi,1200,6,2,401.5767824074074
Salvator Mundi,1200,6,2,383.01555555555564
Salvator Mundi,1200,6,2,382.5737037037037
Salvator Mundi,1200,6,2,362.57159722222224
Salvator Mundi,1500,3,1,331.1866435185185
Salvator Mundi,1500,3,1,324.47134259259263
Salvator Mundi,1500,3,1,335.1699537037037
Salvator Mundi,1500,3,1,336.7584027777778
Salvator Mundi,1500,3,1,343.6356018518518
Salvator Mundi,1500,3,2,326.55898148148145
Salvator Mundi,1500,3,2,324.2012731481482
Salvator Mundi,1500,3,2,322.82631944444444
Salvator Mundi,1500,3,2,323.4853703703704
Salvator Mundi,1500,3,2,321.73546296296297
Salvator Mundi,1500,4,1,349.53451388888885
Salvator Mundi,1500,4,1,346.32439814814813
Salvator Mundi,1500,4,1,336.6399074074074
Salvator Mundi,1500,4,1,360.390625
Salvator Mundi,1500,4,1,340.0499305555556
Salvator Mundi,1500,4,2,361.71074074074073
Salvator Mundi,1500,4,2,337.7998842592593
Salvator Mundi,1500,4,2,320.0158333333333
Salvator Mundi,1500,4,2,359.44791666666674
Salvator Mundi,1500,4,2,352.009375
Salvator Mundi,1500,5,1,353.15229166666666
Salvator Mundi,1500,5,1,354.09365740740736
Salvator Mundi,1500,5,1,367.7753009259259
Salvator Mundi,1500,5,1,343.04340277777777
Salvator Mundi,1500,5,1,344.5451851851852
Salvator Mundi,1500,5,2,337.8166898148148
Salvator Mundi,1500,5,2,340.53118055555564
Salvator Mundi,1500,5,2,353.29666666666674
Salvator Mundi,1500,5,2,340.9454398148148
Salvator Mundi,1500,5,2,377.8350925925926
Salvator Mundi,1500,6,1,384.9427546296296
Salvator Mundi,1500,6,1,333.0528935185185
Salvator Mundi,1500,6,1,334.8797222222222
Salvator Mundi,1500,6,1,361.3323148148148
Salvator Mundi,1500,6,1,346.46192129629634
Salvator Mundi,1500,6,2,356.00243055555563
Salvator Mundi,1500,6,2,374.348125
Salvator Mundi,1500,6,2,353.35988425925933
Salvator Mundi,1500,6,2,346.13314814814817
Salvator Mundi,1500,6,2,356.14858796296295
Salvator Mundi,1800,3,1,322.6032407407407
Salvator Mundi,1800,3,1,304.97407407407405
Salvator Mundi,1800,3,1,322.9025
Salvator Mundi,1800,3,1,304.4861574074074
Salvator Mundi,1800,3,1,309.44803240740737
Salvator Mundi,1800,3,2,303.92333333333335
Salvator Mundi,1800,3,2,319.2673611111111
Salvator Mundi,1800,3,2,311.5787268518518
Salvator Mundi,1800,3,2,314.36483796296295
Salvator Mundi,1800,3,2,307.6517824074074
Salvator Mundi,1800,4,1,325.21618055555564
Salvator Mundi,1800,4,1,368.0974537037037
Salvator Mundi,1800,4,1,353.6685416666667
Salvator Mundi,1800,4,1,340.7431018518518
Salvator Mundi,1800,4,1,314.00069444444443
Salvator Mundi,1800,4,2,361.44949074074066
Salvator Mundi,1800,4,2,345.69513888888883
Salvator Mundi,1800,4,2,338.4712962962963
Salvator Mundi,1800,4,2,353.19456018518514
Salvator Mundi,1800,4,2,331.11967592592595
Salvator Mundi,1800,5,1,309.8916203703704
Salvator Mundi,1800,5,1,317.162662037037
Salvator Mundi,1800,5,1,349.1197685185185
Salvator Mundi,1800,5,1,351.62891203703697
Salvator Mundi,1800,5,1,341.64555555555563
Salvator Mundi,1800,5,2,331.70842592592595
Salvator Mundi,1800,5,2,360.2477777777778
Salvator Mundi,1800,5,2,338.98460648148153
Salvator Mundi,1800,5,2,342.70636574074075
Salvator Mundi,1800,5,2,351.4471296296296
Salvator Mundi,1800,6,1,334.1425
Salvator Mundi,1800,6,1,378.34043981481483
Salvator Mundi,1800,6,1,342.092962962963
Salvator Mundi,1800,6,1,337.1361574074074
Salvator Mundi,1800,6,1,360.833125
Salvator Mundi,1800,6,2,352.6996296296296
Salvator Mundi,1800,6,2,350.82180555555567
Salvator Mundi,1800,6,2,360.66798611111113
Salvator Mundi,1800,6,2,381.80675925925925
Salvator Mundi,1800,6,2,337.5582175925926
Vrouw Met De Hermelijn,60,3,1,2079.5208564814816
Vrouw Met De Hermelijn,60,3,1,2097.1428009259257
Vrouw Met De Hermelijn,60,3,1,2318.046574074074
Vrouw Met De Hermelijn,60,3,1,2005.042546296296
Vrouw Met De Hermelijn,60,3,2,1972.644976851852
Vrouw Met De Hermelijn,60,3,1,2028.5809953703704
Vrouw Met De Hermelijn,60,3,2,2010.549050925926
Vrouw Met De Hermelijn,60,3,2,1979.411550925926
Vrouw Met De Hermelijn,60,4,1,2113.8614351851847
Vrouw Met De Hermelijn,60,3,2,1826.3164351851847
Vrouw Met De Hermelijn,60,3,2,2207.4521296296302
Vrouw Met De Hermelijn,60,4,1,2035.4359722222225
Vrouw Met De Hermelijn,60,4,1,1995.4246759259256
Vrouw Met De Hermelijn,60,4,2,2292.262060185185
Vrouw Met De Hermelijn,60,4,1,1941.660601851852
Vrouw Met De Hermelijn,60,4,1,2211.0680324074074
Vrouw Met De Hermelijn,60,4,2,2273.5850925925924
Vrouw Met De Hermelijn,60,4,2,2130.2721759259257
Vrouw Met De Hermelijn,60,5,1,2330.099675925926
Vrouw Met De Hermelijn,60,4,2,2069.021412037037
Vrouw Met De Hermelijn,60,4,2,2110.804236111111
Vrouw Met De Hermelijn,60,5,1,2066.2752546296297
Vrouw Met De Hermelijn,60,5,1,2083.8665046296296
Vrouw Met De Hermelijn,60,5,1,2094.7564351851847
Vrouw Met De Hermelijn,60,5,2,2136.548310185185
Vrouw Met De Hermelijn,60,5,1,2071.491226851852
Vrouw Met De Hermelijn,60,5,2,2102.8544675925928
Vrouw Met De Hermelijn,60,5,2,2109.6724074074077
Vrouw Met De Hermelijn,60,5,2,2034.2394212962963
Vrouw Met De Hermelijn,60,6,1,2173.492037037037
Vrouw Met De Hermelijn,60,5,2,1889.4042361111112
Vrouw Met De Hermelijn,60,6,1,2219.1175
Vrouw Met De Hermelijn,60,6,1,2105.8875
Vrouw Met De Hermelijn,60,6,1,2472.577453703704
Vrouw Met De Hermelijn,60,6,2,2131.4084953703705
Vrouw Met De Hermelijn,60,6,1,2252.839004629629
Vrouw Met De Hermelijn,60,6,2,2459.288935185185
Vrouw Met De Hermelijn,60,6,2,2299.4192361111113
Vrouw Met De Hermelijn,60,6,2,2208.8697916666665
Vrouw Met De Hermelijn,60,6,2,2254.0469675925924
Vrouw Met De Hermelijn,120,3,1,1544.057175925926
Vrouw Met De Hermelijn,120,3,1,1447.7286805555555
Vrouw Met De Hermelijn,120,3,1,1446.821527777778
Vrouw Met De Hermelijn,120,3,1,1443.3575462962963
Vrouw Met De Hermelijn,120,3,1,1532.0069212962965
Vrouw Met De Hermelijn,120,3,2,1575.9619907407407
Vrouw Met De Hermelijn,120,3,2,1570.4527314814816
Vrouw Met De Hermelijn,120,3,2,1533.9225462962963
Vrouw Met De Hermelijn,120,3,2,1492.2611342592593
Vrouw Met De Hermelijn,120,3,2,1483.1759953703704
Vrouw Met De Hermelijn,120,4,1,1639.5401388888888
Vrouw Met De Hermelijn,120,4,1,1542.7725
Vrouw Met De Hermelijn,120,4,1,1538.3850231481479
Vrouw Met De Hermelijn,120,4,1,1502.252037037037
Vrouw Met De Hermelijn,120,4,1,1482.5347222222224
Vrouw Met De Hermelijn,120,4,2,1514.8976851851849
Vrouw Met De Hermelijn,120,4,2,1550.4745601851853
Vrouw Met De Hermelijn,120,4,2,1660.309074074074
Vrouw Met De Hermelijn,120,4,2,1557.0182407407406
Vrouw Met De Hermelijn,120,4,2,1443.1735648148147
Vrouw Met De Hermelijn,120,5,1,1593.2111574074074
Vrouw Met De Hermelijn,120,5,1,1621.5439583333334
Vrouw Met De Hermelijn,120,5,1,1470.2193287037037
Vrouw Met De Hermelijn,120,5,1,1683.7152546296295
Vrouw Met De Hermelijn,120,5,1,1528.9478472222222
Vrouw Met De Hermelijn,120,5,2,1605.3963657407407
Vrouw Met De Hermelijn,120,5,2,1605.2645370370374
Vrouw Met De Hermelijn,120,5,2,1617.972638888889
Vrouw Met De Hermelijn,120,5,2,1706.1390509259259
Vrouw Met De Hermelijn,120,5,2,1531.224537037037
Vrouw Met De Hermelijn,120,6,1,1509.8419444444446
Vrouw Met De Hermelijn,120,6,1,1699.8602777777778
Vrouw Met De Hermelijn,120,6,1,1658.2524074074076
Vrouw Met De Hermelijn,120,6,1,1545.8998842592596
Vrouw Met De Hermelijn,120,6,1,1647.014699074074
Vrouw Met De Hermelijn,120,6,2,1682.4150925925924
Vrouw Met De Hermelijn,120,6,2,1617.1310648148149
Vrouw Met De Hermelijn,120,6,2,1629.2696759259259
Vrouw Met De Hermelijn,120,6,2,1677.5617824074075
Vrouw Met De Hermelijn,120,6,2,1591.374537037037
Vrouw Met De Hermelijn,180,3,1,1146.385625
Vrouw Met De Hermelijn,180,3,1,1357.8180555555555
Vrouw Met De Hermelijn,180,3,1,1269.1907175925924
Vrouw Met De Hermelijn,180,3,1,1249.441550925926
Vrouw Met De Hermelijn,180,3,1,1236.3409953703706
Vrouw Met De Hermelijn,180,3,2,1294.5829166666667
Vrouw Met De Hermelijn,180,3,2,1251.7855324074071
Vrouw Met De Hermelijn,180,3,2,1207.6511805555556
Vrouw Met De Hermelijn,180,3,2,1179.7485648148152
Vrouw Met De Hermelijn,180,3,2,1298.9845833333334
Vrouw Met De Hermelijn,180,4,1,1322.371412037037
Vrouw Met De Hermelijn,180,4,1,1303.319837962963
Vrouw Met De Hermelijn,180,4,1,1348.5141666666666
Vrouw Met De Hermelijn,180,4,1,1302.2609259259261
Vrouw Met De Hermelijn,180,4,1,1280.5168055555555
Vrouw Met De Hermelijn,180,4,2,1319.5228009259258
Vrouw Met De Hermelijn,180,4,2,1329.7766435185185
Vrouw Met De Hermelijn,180,4,2,1307.4872453703704
Vrouw Met De Hermelijn,180,4,2,1285.793125
Vrouw Met De Hermelijn,180,4,2,1322.6758101851854
Vrouw Met De Hermelijn,180,5,1,1301.7528472222225
Vrouw Met De Hermelijn,180,5,1,1332.1969212962965
Vrouw Met De Hermelijn,180,5,1,1295.147962962963
Vrouw Met De Hermelijn,180,5,1,1403.6331712962965
Vrouw Met De Hermelijn,180,5,1,1359.3790972222225
Vrouw Met De Hermelijn,180,5,2,1331.8775925925927
Vrouw Met De Hermelijn,180,5,2,1441.2028935185183
Vrouw Met De Hermelijn,180,5,2,1344.7054629629629
Vrouw Met De Hermelijn,180,5,2,1281.9424768518518
Vrouw Met De Hermelijn,180,5,2,1462.788287037037
Vrouw Met De Hermelijn,180,6,1,1455.6206712962965
Vrouw Met De Hermelijn,180,6,1,1384.1068981481478
Vrouw Met De Hermelijn,180,6,1,1414.1926851851852
Vrouw Met De Hermelijn,180,6,1,1387.9776388888888
Vrouw Met De Hermelijn,180,6,1,1381.3602546296295
Vrouw Met De Hermelijn,180,6,2,1446.4893981481482
Vrouw Met De Hermelijn,180,6,2,1358.7873842592592
Vrouw Met De Hermelijn,180,6,2,1429.3113194444445
Vrouw Met De Hermelijn,180,6,2,1320.4415277777778
Vrouw Met De Hermelijn,180,6,2,1351.371574074074
Vrouw Met De Hermelijn,240,3,1,1163.1018981481482
Vrouw Met De Hermelijn,240,3,1,1181.047638888889
Vrouw Met De Hermelijn,240,3,1,1068.334375
Vrouw Met De Hermelijn,240,3,1,1075.4494907407409
Vrouw Met De Hermelijn,240,3,1,1022.7644444444444
Vrouw Met De Hermelijn,240,3,2,1183.1154398148149
Vrouw Met De Hermelijn,240,3,2,1051.3849074074074
Vrouw Met De Hermelijn,240,3,2,1088.8033796296297
Vrouw Met De Hermelijn,240,3,2,1110.3112962962964
Vrouw Met De Hermelijn,240,3,2,1031.1921527777777
Vrouw Met De Hermelijn,240,4,1,1106.109837962963
Vrouw Met De Hermelijn,240,4,1,1103.2236805555556
Vrouw Met De Hermelijn,240,4,1,1159.2169907407408
Vrouw Met De Hermelijn,240,4,1,1185.5576157407404
Vrouw Met De Hermelijn,240,4,1,1286.6810185185186
Vrouw Met De Hermelijn,240,4,2,1160.3047916666667
Vrouw Met De Hermelijn,240,4,2,1110.642361111111
Vrouw Met De Hermelijn,240,4,2,1170.8066435185185
Vrouw Met De Hermelijn,240,4,2,1181.1409722222222
Vrouw Met De Hermelijn,240,4,2,1098.499976851852
Vrouw Met De Hermelijn,240,5,1,1340.8027546296296
Vrouw Met De Hermelijn,240,5,1,1174.2819212962966
